dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp,id,cases_new,deaths_new
2019-12-30,31,12,2019,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2019-12-31,1,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-01-01,2,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-01-02,3,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-01-03,4,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-01-04,5,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-01-05,6,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-01-06,7,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-01-07,8,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-01-08,9,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-01-09,10,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-01-10,11,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-01-11,12,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-01-12,13,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-01-13,14,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-01-14,15,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-01-15,16,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-01-16,17,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-01-17,18,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-01-18,19,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-01-19,20,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-01-20,21,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-01-21,22,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-01-22,23,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-01-23,24,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-01-24,25,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-01-25,26,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-01-26,27,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-01-27,28,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-01-28,29,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-01-29,30,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-01-30,31,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-01-31,1,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-02-01,2,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-02-02,3,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-02-03,4,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-02-04,5,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-02-05,6,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-02-06,7,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-02-07,8,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-02-08,9,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-02-09,10,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-02-10,11,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-02-11,12,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-02-12,13,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
2020-02-13,14,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia,Afghanistan_AF_AFG_Asia,0,0
